FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Width,Height,WidthToHeightRatio,WordCount,SymbolCount,SameyCount,BottomLineDistance,TopLineDistance,Label
image-000,0,836,181,174,325,37.083333333333336,445,68,6.544117647058823,2,12,0,807,214,Garbage
image-002,0,1155,305,61,54,16.074074074074073,434,20,21.7,3,27,0,1175,54,Paragraph
image-002,1,1120,359,122,89,15.19047619047619,319,20,15.95,3,21,0,1140,89,Paragraph
image-002,2,1084,410,179,125,15.071428571428571,211,20,10.55,4,14,0,1104,125,Paragraph
image-003,0,1147,59,79,49,21.35483870967742,662,33,20.060606060606062,16,31,0,1180,49,Garbage
image-003,1,914,35,52,234,64.81818181818181,713,81,8.802469135802468,2,11,0,995,234,Garbage
image-003,2,605,170,188,530,30.78888888888889,442,94,4.702127659574468,3,25,0,699,530,Garbage
image-003,3,417,279,277,791,17.428571428571427,244,21,11.619047619047619,2,14,0,438,791,Garbage
image-003,4,384,309,295,826,17.818181818181817,196,19,10.31578947368421,1,11,0,403,826,Garbage
image-003,5,92,101,95,1115,19.483870967741936,604,22,27.454545454545453,4,31,0,114,1115,Garbage
image-003,6,49,144,144,1162,13.128205128205128,512,18,28.444444444444443,20,39,0,67,1162,Garbage
image-004,0,1151,55,83,49,21.35483870967742,662,29,22.82758620689655,16,31,0,1180,-178,Garbage
image-004,1,927,35,64,222,50.07142857142857,701,80,8.7625,6,14,0,1007,-5,Garbage
image-004,2,593,370,399,602,31,31,34,0.9117647058823529,1,1,0,627,375,Garbage
image-004,3,93,86,101,1117,19.774193548387096,613,19,32.26315789473684,4,31,0,112,890,Garbage
image-004,4,48,135,157,1163,15.393939393939394,508,18,28.22222222222222,17,33,0,66,936,Garbage
image-005,0,891,34,33,223,12.574556766428106,733,115,6.373913043478261,34,226,0,1006,223,Paragraph
image-005,1,617,30,31,345,12.961054057526304,739,267,2.7677902621722845,72,512,0,884,345,Paragraph
image-005,2,588,41,542,625,11.421052631578947,217,16,13.5625,1,19,0,604,625,Paragraph
image-005,3,435,31,33,650,12.977555190658638,736,144,5.111111111111111,34,252,0,579,650,Paragraph
image-006,0,724,153,152,405,27.837662337662337,495,100,4.95,13,37,0,824,405,Title
image-007,0,759,85,111,373,14.74996677299309,604,97,6.22680412371134,19,137,0,719,-25,Title
image-007,1,708,286,302,500,12.470588235294118,212,21,10.095238095238095,2,17,0,592,102,Paragraph
image-007,2,633,30,50,546,11.921480530594781,720,50,14.4,14,99,0,546,148,Paragraph
image-007,3,175,27,38,608,12.651287316966974,735,446,1.647982062780269,125,872,0,484,210,Paragraph
image-007,4,39,31,38,1119,10.862892926296709,731,71,10.295774647887324,27,149,0,-27,721,Comment
image-008,0,1179,33,744,32,11.5,23,18,1.2777777777777777,1,2,0,714,32,Garbage
image-008,1,1177,270,262,33,10.307692307692308,268,19,14.105263157894736,2,26,0,713,33,Garbage
image-008,2,1083,38,37,97,12.810734463276837,725,49,14.795918367346939,15,114,0,649,97,Paragraph
image-008,3,1054,39,562,159,11.705882352941176,199,16,12.4375,2,17,0,587,159,Paragraph
image-008,4,839,36,32,186,12.778324862163293,732,204,3.588235294117647,59,400,0,560,186,Paragraph
image-008,5,809,39,630,405,11.909090909090908,131,15,8.733333333333333,1,11,0,341,405,Paragraph
image-008,6,778,79,32,432,12.087719298245615,689,19,36.26315789473684,10,57,0,314,432,Paragraph
image-008,7,747,36,670,465,11.75,94,17,5.529411764705882,1,8,0,281,465,Paragraph
image-008,8,533,36,30,491,11.992999114592259,734,205,3.580487804878049,63,415,0,255,491,Paragraph
image-008,9,504,36,579,710,12.333333333333334,185,15,12.333333333333334,2,15,0,36,710,Paragraph
image-008,10,96,32,34,759,10.668324683080275,734,374,1.9625668449197862,142,1037,0,-13,759,Comment
image-008,11,46,33,34,1142,10.487812911725955,733,41,17.878048780487806,18,90,0,-396,1142,Comment
image-009,0,1166,263,270,46,10.26923076923077,267,17,15.705882352941176,2,26,0,1183,-24,Garbage
image-009,1,1167,737,40,43,11.5,23,19,1.2105263157894737,1,2,0,1186,-27,Garbage
image-009,2,1071,36,39,107,12.569555484489925,725,51,14.215686274509803,19,113,0,1122,37,Paragraph
image-009,3,1041,38,518,173,11.619047619047619,244,15,16.266666666666666,2,21,0,1056,103,Paragraph
image-009,4,978,36,40,201,12.63984461709212,724,50,14.48,16,88,0,1028,131,Paragraph
image-009,5,796,36,33,262,12.785619191366317,731,171,4.2748538011695905,45,306,0,967,192,Paragraph
image-009,6,765,72,39,446,12.527272727272727,689,18,38.27777777777778,7,55,0,783,376,Paragraph
image-009,7,736,36,541,476,11.736842105263158,223,17,13.117647058823529,3,19,0,753,406,Paragraph
image-009,8,706,571,73,501,13,156,22,7.090909090909091,2,12,0,728,431,Paragraph
image-010,0,834,167,170,373,15.433333333333334,463,22,21.045454545454547,5,30,0,746,373,Title
image-010,1,780,174,169,429,13.057142857142857,457,20,22.85,4,35,0,690,429,Paragraph
image-010,2,612,32,34,473,12.14449227745936,734,144,5.097222222222222,40,261,0,646,473,Paragraph
image-010,3,562,468,74,650,12.9,258,17,15.176470588235293,3,20,0,469,650,Paragraph
image-010,4,534,109,599,679,10.222222222222221,92,16,5.75,1,9,0,440,679,Paragraph
image-010,5,508,68,541,701,10.052631578947368,191,20,9.55,4,19,0,418,701,Paragraph
image-010,6,42,54,39,1142,11.035087719298247,707,45,15.71111111111111,19,115,0,-23,1142,Comment
image-011,0,677,312,473,535,15,15,17,0.8823529411764706,1,1,0,308,154,Image
image-011,1,504,97,623,702,11.2,80,23,3.4782608695652173,2,7,0,141,321,Image
image-011,2,516,268,523,702,9,9,11,0.8181818181818182,1,1,0,141,321,Image
image-011,3,515,642,149,703,9,9,11,0.8181818181818182,1,1,0,140,322,Image
image-012,0,811,125,138,373,15.32563025210084,537,45,11.933333333333334,4,42,0,856,373,Title
image-012,1,785,268,303,425,12.722222222222221,229,19,12.052631578947368,4,18,0,804,425,Title
